image_path,source_dataset,original_label,undertone_label,face_detected,quality_score,total_sampled_pixels,mean_r,mean_g,mean_b,median_r,median_g,median_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,mean_l,mean_a,mean_lab_b,std_l,std_a,std_lab_b,ita,b_to_a_ratio,rg_ratio,rb_ratio
swatch_Smashbox_#E9C9AF,pudding_foundation_shades,Smashbox - 0.1 very fair with neutral underton,neutral,True,95.0,80,232.5,200.312,174.525,232.0,200.0,174.0,2.706,2.582,2.403,13.35,63.538,232.5,82.853,7.475,17.113,0.682,1.837,1.651,62.486,2.2893,1.1607,1.3322
swatch_Lancôme_#C4A577,pudding_foundation_shades,Lancôme - 300 Bisque (medium skin w/ warm/yel,warm,True,95.0,80,195.825,164.812,118.25,196.0,165.0,118.0,2.687,2.346,2.6,17.975,100.963,195.825,69.436,4.888,28.35,0.654,1.761,1.667,34.434,5.8005,1.1882,1.656
swatch_Dior_#DAAD9A,pudding_foundation_shades,Dior - 2.5 Neutral light to light medium s,neutral,True,95.0,80,218.05,173.025,153.213,218.0,173.0,153.0,2.889,2.475,2.36,9.137,75.825,218.05,74.338,13.637,16.425,0.656,1.852,1.547,55.986,1.2044,1.2602,1.4232
swatch_Dior_#E1B28D,pudding_foundation_shades,Dior - 4 Warm,warm,True,95.0,80,224.287,177.162,140.787,224.0,177.0,141.0,2.825,2.605,2.206,13.075,94.9,224.287,75.701,12.325,25.163,0.724,1.794,1.355,45.607,2.0416,1.266,1.5931
swatch_CoverGirl_#B17F5C,pudding_foundation_shades,CoverGirl - Medium Cool 3,cool,True,95.0,80,176.537,126.037,92.237,177.0,126.0,92.0,2.645,2.477,2.546,12.05,121.7,176.537,57.137,15.438,26.137,0.692,1.89,1.61,15.273,1.6931,1.4007,1.9139
swatch_Clinique_#C99272,pudding_foundation_shades,Clinique - Bountiful Beige beige pink shade/ f,neutral,True,95.0,80,200.4,146.037,113.812,200.5,146.0,114.0,2.411,2.648,2.702,11.162,110.225,200.4,65.113,16.5,25.125,0.649,1.897,1.623,31.027,1.5227,1.3723,1.7608
swatch_Au_Naturale_#E4AB7E,pudding_foundation_shades,Au Naturale - Marino (light skin tones with neutr,neutral,True,95.0,80,227.625,170.55,125.588,228.0,171.0,126.0,2.722,2.534,2.443,13.225,114.312,227.625,74.172,15.45,31.3,0.667,1.809,1.487,37.677,2.0259,1.3347,1.8125
swatch_Juvia's_Place_#EFCFA9,pudding_foundation_shades,Juvia's Place - 640 Malta (for light skin peachy un,warm,True,95.0,80,238.512,206.688,167.988,238.0,206.0,168.0,2.612,2.606,2.452,16.45,75.412,238.512,84.863,5.55,23.413,0.667,1.774,1.539,56.116,4.2185,1.154,1.4198
swatch_NUDESTIX_#D59979,pudding_foundation_shades,NUDESTIX - Medium 5 medium beige with golden u,warm,True,95.0,80,212.65,152.325,120.625,213.0,152.0,121.0,2.725,2.301,2.522,10.325,110.375,212.65,68.093,18.725,25.587,0.648,1.703,1.563,35.264,1.3665,1.396,1.7629
swatch_Too_Faced_#773E20,pudding_foundation_shades,Too Faced - Tiramisu (deepest with golden under,warm,True,95.0,80,118.588,61.35,31.688,119.0,61.0,32.0,2.673,2.555,2.653,10.25,186.812,118.588,32.681,22.35,28.8,0.715,2.056,1.728,-31.02,1.2886,1.933,3.7424
