image_id,phototype,mean_r,mean_g,mean_b,median_r,median_g,median_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,mean_l,mean_a,mean_lab_b,std_l,std_a,std_lab_b,ita,b_to_a_ratio,rg_ratio,rb_ratio,undertone
IMG_00290,Medium,177.992,134.968,90.067,177.211,134.788,88.55,7.892,5.838,4.301,12.281,77.387,147.207,57.728,14.114,20.847,2.955,3.383,1.993,20.34,1.4771,1.3188,1.9762,Warm
IMG_01037,Tan,161.51,108.019,79.006,161.135,110.313,78.92,11.924,7.065,4.369,10.407,91.213,123.576,48.461,18.367,15.715,3.882,1.619,2.753,-5.592,0.8556,1.4952,2.0443,Neutral
IMG_00536,Medium,185.07,128.121,105.001,184.709,125.533,104.556,5.848,9.62,4.783,8.111,58.142,152.678,59.874,17.895,9.643,3.703,1.63,3.211,45.677,0.5389,1.4445,1.7625,Cool
IMG_00347,Fair,215.338,178.066,127.9,213.389,177.622,128.581,11.232,5.745,7.643,16.316,101.512,195.276,76.579,12.74,21.293,2.202,1.301,3.073,51.301,1.6714,1.2093,1.6836,Warm
IMG_01076,Medium,190.716,144.429,116.414,191.591,144.869,116.749,7.419,9.81,6.909,9.327,72.843,164.985,64.7,14.264,11.122,2.788,1.568,2.43,52.89,0.7797,1.3205,1.6383,Neutral
IMG_00783,Fair,200.39,157.888,140.57,199.629,157.541,138.302,8.083,10.408,5.767,9.817,48.416,184.638,72.407,12.669,7.346,2.123,1.581,2.227,71.849,0.5798,1.2692,1.4255,Cool
IMG_00304,Fair,199.699,158.847,122.895,200.579,156.321,125.345,4.059,7.127,3.781,18.307,103.78,178.193,69.88,15.112,17.905,4.277,3.318,3.718,47.992,1.1848,1.2572,1.625,Warm
IMG_00755,Tan,134.885,77.302,69.509,132.971,78.056,71.467,6.794,7.083,10.504,8.076,89.014,99.269,38.929,22.068,5.761,2.149,2.351,3.421,-62.508,0.2611,1.7449,1.9405,Cool
IMG_00537,Medium,192.424,135.847,108.051,192.796,136.689,107.23,6.197,5.412,5.77,8.757,75.382,157.342,61.703,20.077,12.971,4.449,2.208,3.09,42.058,0.646,1.4165,1.7809,Cool
IMG_00077,Medium,175.312,147.538,99.295,175.399,148.474,99.385,6.781,8.154,9.466,17.385,78.531,156.534,61.386,12.002,17.934,5.709,1.74,2.238,32.41,1.4943,1.1882,1.7656,Warm
IMG_00406,Medium,162.467,121.395,87.279,163.82,118.732,85.6,6.555,5.265,10.669,15.477,103.396,137.426,53.893,14.541,18.054,5.693,2.252,3.4,12.167,1.2416,1.3383,1.8615,Warm
IMG_01309,Medium,180.017,134.929,104.902,176.91,136.272,105.567,5.882,8.891,3.647,9.375,114.347,150.531,59.032,14.848,13.767,4.865,1.435,3.097,33.266,0.9272,1.3342,1.7161,Neutral
IMG_00916,Tan,160.254,121.962,86.19,159.612,120.414,86.986,7.332,10.258,7.994,9.882,53.282,134.973,52.931,15.327,15.399,4.543,2.84,3.202,10.775,1.0047,1.314,1.8593,Neutral
